title,url,edit_url,path
新加坡 A-Level 考试完全攻略：H1/H2 科目、GP 与大学申请,https://sgeda.org.cn/a-level/,https://github.com/wysin808-dot/seda-website/edit/main/a-level/index.html,a-level/index.html
关于 SEDA 与合作入口 | 学校合作、代理合作、渠道合作,https://sgeda.org.cn/about/,https://github.com/wysin808-dot/seda-website/edit/main/about/index.html,about/index.html
AEIS年龄要求怎么看？中国学生申请新加坡政府学校别踩这个坑,https://sgeda.org.cn/aeis/aeis-age-requirements-chinese-students/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/aeis-age-requirements-chinese-students/index.html,aeis/aeis-age-requirements-chinese-students/index.html
AEIS数学怎么备考？中国学生不能只靠刷题,https://sgeda.org.cn/aeis/aeis-math-preparation/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/aeis-math-preparation/index.html,aeis/aeis-math-preparation/index.html
AEIS 年龄与年级要求详解：各年龄段可报考年级对照表,https://sgeda.org.cn/aeis/age-requirements/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/age-requirements/index.html,aeis/age-requirements/index.html
AEIS 英文考试题型详解：阅读、写作与语法全面攻略,https://sgeda.org.cn/aeis/english/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/english/index.html,aeis/english/index.html
AEIS 年级测算工具：输入出生日期，查看可报考年级,https://sgeda.org.cn/aeis/grade-checker/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/grade-checker/index.html,aeis/grade-checker/index.html
AEIS 考试完全攻略：国际学生进入新加坡政府学校全指南,https://sgeda.org.cn/aeis/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/index.html,aeis/index.html
AEIS 数学考试题型详解：知识点、题型与备考策略,https://sgeda.org.cn/aeis/math/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/math/index.html,aeis/math/index.html
AEIS 备考攻略：中国学生如何高效准备 AEIS 考试,https://sgeda.org.cn/aeis/preparation/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/preparation/index.html,aeis/preparation/index.html
AEIS 通过率与录取数据分析：真实录取情况解读,https://sgeda.org.cn/aeis/results/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/results/index.html,aeis/results/index.html
S-AEIS 补充考试完全指南：报名、考试与录取全流程,https://sgeda.org.cn/aeis/s-aeis/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/s-aeis/index.html,aeis/s-aeis/index.html
AEIS 考试时间与报名流程：2025-2026 完整时间表,https://sgeda.org.cn/aeis/timeline/,https://github.com/wysin808-dot/seda-website/edit/main/aeis/timeline/index.html,aeis/timeline/index.html
新加坡 AP 课程完全攻略：考试科目、备考策略与大学申请,https://sgeda.org.cn/ap/,https://github.com/wysin808-dot/seda-website/edit/main/ap/index.html,ap/index.html
阿德莱德大学 University of Adelaide 完全指南,https://sgeda.org.cn/au-university/adelaide/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/adelaide/index.html,au-university/adelaide/index.html
澳大利亚国立大学 ANU 完全指南,https://sgeda.org.cn/au-university/anu/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/anu/index.html,au-university/anu/index.html
澳洲八大名校 (Group of Eight) 完全指南,https://sgeda.org.cn/au-university/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/index.html,au-university/index.html
AI 澳洲大学匹配工具：输入成绩，智能推荐适合你的澳洲大学,https://sgeda.org.cn/au-university/matcher/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/matcher/index.html,au-university/matcher/index.html
莫纳什大学 Monash University 完全指南,https://sgeda.org.cn/au-university/monash/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/monash/index.html,au-university/monash/index.html
莫纳什大学印尼校区 Monash University Indonesia 完全指南,https://sgeda.org.cn/au-university/monash/indonesia/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/monash/indonesia/index.html,au-university/monash/indonesia/index.html
莫纳什大学马来西亚校区 Monash University Malaysia 完全指南,https://sgeda.org.cn/au-university/monash/malaysia/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/monash/malaysia/index.html,au-university/monash/malaysia/index.html
澳洲八大海外分校完全指南：Go8 海外校区录取要求与学费,https://sgeda.org.cn/au-university/overseas-campuses/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/overseas-campuses/index.html,au-university/overseas-campuses/index.html
AI 澳洲升学规划：量身定制你的澳洲大学申请方案,https://sgeda.org.cn/au-university/planner/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/planner/index.html,au-university/planner/index.html
皇家墨尔本理工大学 RMIT 完全指南：专业、录取要求与学费,https://sgeda.org.cn/au-university/rmit/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/rmit/index.html,au-university/rmit/index.html
墨尔本大学 The University of Melbourne 完全指南,https://sgeda.org.cn/au-university/unimelb/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/unimelb/index.html,au-university/unimelb/index.html
新南威尔士大学 UNSW 完全指南,https://sgeda.org.cn/au-university/unsw/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/unsw/index.html,au-university/unsw/index.html
昆士兰大学 UQ 完全指南,https://sgeda.org.cn/au-university/uq/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/uq/index.html,au-university/uq/index.html
悉尼大学 University of Sydney 完全指南,https://sgeda.org.cn/au-university/usyd/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/usyd/index.html,au-university/usyd/index.html
悉尼科技大学 UTS 完全指南：专业、录取要求与学费,https://sgeda.org.cn/au-university/uts/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/uts/index.html,au-university/uts/index.html
西澳大学 UWA 完全指南 — WACE课程发源地,https://sgeda.org.cn/au-university/uwa/,https://github.com/wysin808-dot/seda-website/edit/main/au-university/uwa/index.html,au-university/uwa/index.html
SEDA CMS 内容后台,https://sgeda.org.cn/cms/,https://github.com/wysin808-dot/seda-website/edit/main/cms/index.html,cms/index.html
联系 Amy — 免费新加坡择校咨询,https://sgeda.org.cn/contact/,https://github.com/wysin808-dot/seda-website/edit/main/contact/index.html,contact/index.html
SEDA 内容审核后台,https://sgeda.org.cn/content-review/,https://github.com/wysin808-dot/seda-website/edit/main/content-review/index.html,content-review/index.html
CAT4 认知能力测评完全攻略：新加坡国际学校入学,https://sgeda.org.cn/entrance-exams/cat4/,https://github.com/wysin808-dot/seda-website/edit/main/entrance-exams/cat4/index.html,entrance-exams/cat4/index.html
新加坡留学入学测评与考试总览,https://sgeda.org.cn/entrance-exams/,https://github.com/wysin808-dot/seda-website/edit/main/entrance-exams/index.html,entrance-exams/index.html
MAP Growth 测评完全攻略：新加坡国际学校入学必备,https://sgeda.org.cn/entrance-exams/map-growth/,https://github.com/wysin808-dot/seda-website/edit/main/entrance-exams/map-growth/index.html,entrance-exams/map-growth/index.html
芝加哥大学 Booth 商学院新加坡 EMBA 完全指南,https://sgeda.org.cn/foreign-university/chicago-booth/,https://github.com/wysin808-dot/seda-website/edit/main/foreign-university/chicago-booth/index.html,foreign-university/chicago-booth/index.html
ESSEC 新加坡校区完全指南：法国顶尖商学院亚洲校区,https://sgeda.org.cn/foreign-university/essec/,https://github.com/wysin808-dot/seda-website/edit/main/foreign-university/essec/index.html,foreign-university/essec/index.html
海外名校新加坡校区完全指南：INSEAD、ESSEC、芝加哥大学等,https://sgeda.org.cn/foreign-university/,https://github.com/wysin808-dot/seda-website/edit/main/foreign-university/index.html,foreign-university/index.html
INSEAD 新加坡校区完全指南：全球 MBA #1 的亚洲总部,https://sgeda.org.cn/foreign-university/insead/,https://github.com/wysin808-dot/seda-website/edit/main/foreign-university/insead/index.html,foreign-university/insead/index.html
SP Jain 全球管理学院新加坡校区完全指南：多城市轮转教学,https://sgeda.org.cn/foreign-university/sp-jain/,https://github.com/wysin808-dot/seda-website/edit/main/foreign-university/sp-jain/index.html,foreign-university/sp-jain/index.html
TUM Asia 慕尼黑工业大学亚洲校区完全指南：德国顶尖理工在新加坡,https://sgeda.org.cn/foreign-university/tum-asia/,https://github.com/wysin808-dot/seda-website/edit/main/foreign-university/tum-asia/index.html,foreign-university/tum-asia/index.html
